Sample_ID,Date,Plot_ID,PLHE_red1,PLHE_red2,PLHE_red3,PLHE_golden1,PLHE_golden2 ,PLHE_golden3,Flower_Num,FC_perc,GC_perc,Comments 
MCSP_191,8/20/2021,T7_R4_IR_F_3b,79.5,78,72.1,89.5,81.4,67,91,2,,no
MCSP_192,8/20/2021,T7_R4_IR_N_3c,60.5,54.4,65.6,88.5,85.3,90,12,0.5,,no
MCSP_193,8/20/2021,T7_R4_D1_C_5a,55.2,60.4,51.2,82,75.4,70.3,26,1.5,,yes
MCSP_194,8/20/2021,T7_R4_D1_F_5c,35.6,72.3,56.5,66.3,73.4,68.4,26,0.5,,no
MCSP_195,8/20/2021,T7_R4_D1_N_5d,58.1,63.1,66.5,60.5,61,66.2,24,1,,no
MCSP_196,8/20/2021,T7_R4_VR_N_7b,66.7,51.5,55.6,69,95.3,83.9,29,2.5,,yes
MCSP_197,8/20/2021,T7_R4_VR_C_7c,58.4,61.4,50.3,71.4,83.9,57.5,70,1,,no
MCSP_198,8/20/2021,T7_R4_VR_F_7d,34.5,54.3,54,80,65.9,61.1,91,3,,no
MCSP_199,8/20/2021,T7_R2_D1_F_1a,70.3,76.4,84.6,82.8,81.9,44.1,23,2,,no
MCSP_200,8/20/2021,T7_R2_D1_N_1b,72.5,74.3,74.6,75.7,63.3,77,40,1.5,,no
MCSP_201,8/20/2021,T7_R2_D1_C_1c,63.4,70.4,81.3,72.2,68.2,71.4,43,2,,no
MCSP_202,8/20/2021,T7_R2_VR_F_3a,78,68.1,64.5,77.6,76.5,99.4,40,2,,no
MCSP_203,8/20/2021,T7_R2_VR_N_3b,50.5,56.9,71.5,82.3,88.5,89.7,55,2,,yes
MCSP_204,8/20/2021,T7_R2_VR_C_3c,77.5,68.5,85.1,88,75.3,97.6,21,1.5,,no
MCSP_205,8/20/2021,T7_R2_IR_F_4a,70.4,82.5,63.1,83.1,86.5,84.5,42,1.5,,no
MCSP_206,8/20/2021,T7_R2_IR_C_4c,77.4,78.5,95.4,84.9,102.5,87.5,36,2,,yes
MCSP_207,8/20/2021,T7_R2_IR_N_4d,90.5,77.5,84.1,88.4,91.5,96.4,136,2,,no
MCSP_208,8/20/2021,T7_R6_IR_F_4b,45.9,64.2,61.1,NA,NA,NA,98,4,,NA
MCSP_209,8/20/2021,T7_R6_IR_N_4c,67.5,70.5,69,81.5,68,83.2,28,1,,yes
MCSP_210,8/20/2021,T7_R6_IR_C_4d,64.3,79.1,72.9,81,86.5,73.1,46,2.5,,yes
MCSP_211,8/20/2021,T7_R6_VR_N_5b,76,71,61.2,92.1,96.8,81.7,224,4.5,,yes
MCSP_212,8/20/2021,T7_R6_VR_F_5c,59.5,66.5,64.9,71.4,69.9,70.4,105,2.5,,yes
MCSP_213,8/20/2021,T7_R6_VR_C_5d,57.2,58.1,67.1,80.3,92.5,89.6,43,1.5,,yes
MCSP_214,8/20/2021,T7_R6_D1_N_6a,48.2,46.1,43.5,96,72.1,82.9,16,1,,yes
MCSP_215,8/20/2021,T7_R6_D1_C_6c,46.1,49.5,63,91.3,98,89,35,3,,yes
MCSP_216,8/20/2021,T7_R6_D1_F_6d,53,64.5,63.5,80.5,103.5,77.4,51,2,,yes
